name,state,population,land_area
Abilene,Texas,122999,276.4
Akron,Ohio,198006,160.6
Albuquerque,New Mexico,560218,487.4
Alexandria,Virginia,160530,38.8
Allen,Texas,103383,70.2
Allentown,Pennsylvania,121433,45.3
Amarillo,Texas,199924,262.6
Anaheim,California,352005,129.5
Anchorage,Alaska,291538,4420.1
Ann Arbor,Michigan,121890,72.8
Antioch,California,111535,76.1
Arlington,Texas,398112,248.1
Arvada,Colorado,120492,100
Athens,Georgia,125964,301.5
Atlanta,Georgia,498044,345.8
Augusta,Georgia,196939,783.5
Aurora,Colorado,374114,397.6
Aurora,Illinois,199602,116.3
Austin,Texas,964254,809.9
Bakersfield,California,383579,385.4
Baltimore,Maryland,602495,209.5
Baton Rouge,Louisiana,221599,222.5
Beaumont,Texas,118428,212.6
Bellevue,Washington,147599,86.8
Berkeley,California,121643,27.2
Billings,Montana,109550,113.2
Birmingham,Alabama,209880,378.4
Boise,Idaho,228790,212.6
Boston,Massachusetts,694583,125.1
Boulder,Colorado,107353,64.2
Bridgeport,Connecticut,144900,41.7
Broken Arrow,Oklahoma,109171,159.8
Brownsville,Texas,183392,343.2
Buffalo,New York,256304,104.6
Burbank,California,103695,45.1
Cambridge,Massachusetts,118977,16.6
Cape Coral,Florida,189343,273.5
Carlsbad,California,115877,97.6
Carrollton,Texas,136879,94
Cary,North Carolina,168160,146.3
Cedar Rapids,Iowa,133174,183.4
Centennial,Colorado,110831,76.4
Chandler,Arizona,257165,168.1
Charleston,South Carolina,136208,282.3
Charlotte,North Carolina,872498,791
Chattanooga,Tennessee,180557,370.6
Chesapeake,Virginia,242634,876.7
Chicago,Illinois,2705994,588.7
Chula Vista,California,271651,128.5
Cincinnati,Ohio,302605,200.5
Clarksville,Tennessee,156794,254.6
Clearwater,Florida,116478,67.1
Cleveland,Ohio,383793,201.2
Clinton,Michigan,100800,72.8
Clovis,California,112022,62.7
College Station,Texas,116218,132.1
Colorado Springs,Colorado,472688,506.6
Columbia,South Carolina,133451,345.8
Columbia,Missouri,123180,168.3
Columbus,Ohio,892533,565.9
Columbus,Georgia,194160,560.5
Concord,California,129688,79
Coral Springs,Florida,133507,61.6
Corona,California,168819,102.3
Corpus Christi,Texas,326554,452.2
Costa Mesa,California,113615,40.7
Dallas,Texas,1345047,882.9
Daly City,California,107008,19.7
Davenport,Iowa,102085,162.9
Davie,Florida,106558,90.4
Dayton,Ohio,140640,144.3
Denton,Texas,138541,241.9
Denver,Colorado,716492,397
Des Moines,Iowa,216853,230.2
Detroit,Michigan,672662,359.5
Downey,California,112269,32.1
Durham,North Carolina,274291,284.4
Edison,New Jersey,100693,78
El Cajon,California,103241,37.6
El Monte,California,115586,24.9
El Paso,Texas,682669,665.1
Elgin,Illinois,111683,96.9
Elizabeth,New Jersey,128885,31.9
Elk Grove,California,172886,109.3
Escondido,California,152213,96.1
Eugene,Oregon,171245,114.2
Evansville,Indiana,117963,122.5
Everett,Washington,111262,86.2
Fairfield,California,116884,105.9
Fargo,North Dakota,124844,127.7
Fayetteville,North Carolina,209468,382.5
Fontana,California,213739,111.4
Fort Collins,Colorado,167830,144.5
Fort Lauderdale,Florida,182595,89.6
Fort Wayne,Indiana,267633,286.5
Fort Worth,Texas,895008,888.1
Fremont,California,237807,200.7
Fresno,California,530093,296.3
Frisco,Texas,188170,175.3
Fullerton,California,139640,58
Gainesville,Florida,133857,161.4
Garden Grove,California,172646,46.6
Garland,Texas,242507,147.6
Gilbert,Arizona,248279,176.1
Glendale,Arizona,250702,153.1
Glendale,California,201361,78.7
Grand Prairie,Texas,194614,187.3
Grand Rapids,Michigan,200217,115
Greeley,Colorado,107348,123.8
