Alabama,135767,4597
Alaska,1723337,245384
Arizona,295234,1026
Arkansas,137732,2961
California,423967,20501
Colorado,269601,1170
Connecticut,14357,1816
Delaware,6446,1399
Florida,170312,31424
Georgia,153910,4951
Hawaii,28313,11678
Idaho,216443,2398
Illinois,149995,6202
Indiana,94326,1537
Iowa,145746,1077
Kansas,213100,1346
Kentucky,104656,2387
Louisiana,135659,23761
Maine,91633,11750
Maryland,32131,6990
Massachusetts,27336,7134
Michigan,250487,104052
Minnesota,225163,18930
Mississippi,125438,3907
Missouri,180540,2501
Montana,380831,3869
Nebraska,200330,1356
Nevada,286380,2048
New Hampshire,24214,1027
New Jersey,22591,3544
New Mexico,314917,757
New York,141297,19240
North Carolina,139391,13471
North Dakota,183108,4397
Ohio,116098,10269
Oklahoma,181037,3377
Oregon,254799,6191
Pennsylvania,119280,3397
Rhode Island,4001,1324
South Carolina,82933,5076
South Dakota,199729,3379
Tennessee,109153,2355
Texas,695662,19075
Utah,219882,7064
Vermont,24906,1035
Virginia,110787,8508
Washington,184661,12542
West Virginia,62756,497
Wisconsin,169635,29367
Wyoming,253335,1864
District of Columbia,176,18
American Samoa,1505,1307
Guam,1478,935
Northern Mariana Islands,5117,4644
Puerto Rico,13791,4924
U.S. Virgin Islands,1898,1550
